"experiment","minutes_watched"
"A","134.09"
"A","102.44"
"A","126.99"
"A","148.16"
"A","103.98"
"A","133.48"
"A","105.4"
"A","92.8"
"A","83.33"
"A","123.96"
"A","74.94"
"A","111.3"
"A","145.55"
"A","102.35"
"A","155.56"
"A","134.02"
"A","84.05"
"A","132.24"
"A","102.88"
"A","67.17"
"A","85.35"
"A","88.82"
"A","123.58"
"A","62.87"
"A","96.51"
"A","97.48"
"A","146.01"
"A","125.41"
"A","91.43"
"A","191.05"
"A","103.42"
"A","132.66"
"A","169.19"
"A","45.74"
"A","99.94"
"A","106.97"
"A","140.69"
"A","95.55"
"A","183.4"
"A","106.31"
"A","121.83"
"A","127.3"
"A","70.43"
"A","169.63"
"A","91.49"
"A","137.87"
"A","70.21"
"A","116.93"
"A","126.56"
"A","179.54"
"A","95.38"
"A","85.41"
"A","122.27"
"A","130.62"
"A","149"
"A","122.84"
"A","172.65"
"A","48.09"
